,playerID,gamesPlayed,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
0,237,67,2019,34:34,9.6,19.45,2.21,6.34,3.94,5.69,0.96,6.85,7.81,10.21,1.16,0.55,3.9,1.76,25.34,0.493,0.348,0.693
1,220,69,2019,18:55,2.93,4.01,0.04,0.07,1.59,3.1,2.48,4.88,7.36,0.65,0.45,1.14,1.23,3.22,7.49,0.729,0.6,0.514
2,481,66,2019,28:14,5.92,14.18,1.68,4.77,4.42,5.14,0.47,2.58,3.05,5.53,0.65,0.18,2.76,1.21,17.95,0.418,0.352,0.861
3,138,71,2019,5:07,0.34,0.85,0.25,0.59,0.03,0.03,0.08,0.65,0.73,0.39,0.21,0.04,0.11,0.58,0.96,0.4,0.429,1.0
4,306,68,2019,16:37,2.87,4.5,0.04,0.09,0.78,1.21,1.85,3.9,5.75,0.54,0.53,1.37,0.81,2.34,6.56,0.637,0.5,0.646
5,45,51,2019,26:18,2.88,6.69,1.57,4.04,0.61,0.92,1.12,4.1,5.22,3.59,1.06,0.49,1.29,3.06,7.94,0.431,0.388,0.66
6,184,68,2019,24:48,2.9,6.97,1.76,4.81,0.49,0.71,0.76,2.56,3.32,1.34,1.24,0.46,0.93,2.0,8.04,0.416,0.367,0.687
7,365,71,2019,10:55,1.34,3.28,0.94,2.42,0.49,0.61,0.49,1.65,2.14,0.58,0.1,0.04,0.3,0.76,4.11,0.408,0.39,0.814
8,59,49,2019,24:12,3.47,7.82,1.29,3.53,0.41,0.49,0.37,1.96,2.33,1.29,0.88,0.1,0.96,2.24,8.63,0.444,0.364,0.833
9,274,58,2019,31:51,9.17,19.53,2.12,5.6,6.14,6.93,0.93,6.0,6.93,4.83,1.78,0.57,2.57,1.95,26.6,0.47,0.378,0.886
10,117,62,2019,34:22,8.89,17.68,1.16,3.52,7.16,8.47,2.29,7.03,9.32,3.23,1.47,2.31,2.47,2.52,26.1,0.503,0.33,0.846
11,193,63,2019,22:38,2.25,4.49,0.54,1.56,0.62,1.05,0.87,2.95,3.83,1.08,0.9,0.52,0.84,2.35,5.67,0.502,0.347,0.591
12,187,63,2019,20:44,2.4,5.59,1.46,3.78,0.57,0.76,1.22,4.94,6.16,0.78,0.46,0.38,0.86,2.76,6.83,0.429,0.387,0.75
13,81,69,2019,25:31,3.43,7.35,1.33,3.46,1.14,1.48,0.55,1.51,2.06,1.61,0.84,0.2,0.9,1.86,9.35,0.467,0.385,0.775
14,116,67,2019,7:56,1.07,2.78,0.69,1.97,0.15,0.24,0.18,0.6,0.78,0.25,0.16,0.04,0.18,0.55,2.99,0.387,0.348,0.625
15,194,63,2019,27:45,7.48,12.9,0.0,0.29,3.67,5.57,2.6,4.48,7.08,1.7,0.63,1.11,1.71,2.32,18.62,0.579,0.0,0.658
16,106,70,2019,7:15,1.3,3.06,0.44,1.21,0.16,0.2,0.16,0.57,0.73,0.7,0.17,0.03,0.47,0.39,3.2,0.425,0.365,0.786
17,493,72,2019,18:24,3.28,5.38,0.0,0.03,1.72,2.31,2.76,4.81,7.57,1.14,0.22,0.92,0.85,2.33,8.28,0.61,0.0,0.747
18,89,64,2019,18:21,1.88,4.55,0.63,1.88,1.08,1.47,0.27,1.66,1.92,1.95,1.09,0.28,0.83,1.53,5.45,0.412,0.333,0.734
